航空公司,航班编号,出发时间,到达时间,出发机场,到达机场,航班价格
东方航空,MU5099,07:00,09:15,虹桥机场T2,首都机场T2,846
南方航空,CZ8890,07:20,09:45,浦东机场T2,大兴机场,870
中国国际航空,CA1564,07:55,10:10,虹桥机场T2,首都机场T3,780
东方航空,MU5101,08:00,10:15,虹桥机场T2,首都机场T2,1093
中国联合航空,KN5978,08:10,10:25,浦东机场T1,大兴机场,470
中国国际航空,CA8679,08:10,10:35,浦东机场T2,大兴机场,580
海南航空,HU7602,08:20,10:40,虹桥机场T2,首都机场T2,550
东方航空,MU5151,08:30,10:45,虹桥机场T2,首都机场T2,1093
中国国际航空,CA1590,08:55,11:10,虹桥机场T2,首都机场T3,1120
东方航空,MU5103,09:00,11:15,虹桥机场T2,首都机场T2,1454
东方航空,MU5129,09:05,11:20,浦东机场T1,大兴机场,472
东方航空,MU5153,09:30,12:00,虹桥机场T2,首都机场T2,1235
东方航空,MU5105,10:00,12:15,虹桥机场T2,首都机场T2,1454
东方航空,MU5155,10:30,13:00,浦东机场T1,首都机场T2,846
东方航空,MU6868,10:30,12:40,虹桥机场T2,大兴机场,733
吉祥航空,HO1251,10:50,13:20,浦东机场T2,大兴机场,438
东方航空,MU5107,11:00,13:15,虹桥机场T2,首都机场T2,846
海南航空,HU7614,11:05,13:40,浦东机场T2,首都机场T2,650
海南航空,HU7604,11:15,13:25,虹桥机场T2,首都机场T2,690
中国国际航空,CA1508,11:25,13:40,虹桥机场T2,首都机场T3,900
南方航空,CZ8880,11:25,13:40,虹桥机场T2,大兴机场,870
东方航空,MU5109,12:00,14:15,虹桥机场T2,首都机场T2,752
海南航空,HU7606,12:10,14:20,虹桥机场T2,首都机场T2,690
中国国际航空,CA1502,12:25,14:45,虹桥机场T2,首都机场T3,780
东方航空,MU9191,12:50,15:10,虹桥机场T2,大兴机场,472
东方航空,MU5111,13:00,15:10,虹桥机场T2,首都机场T2,752
东方航空,MU5157,13:30,15:45,虹桥机场T2,首都机场T2,566
中国国际航空,CA1520,13:30,15:55,虹桥机场T2,首都机场T3,480
中国国际航空,CA1532,13:55,16:20,虹桥机场T2,首都机场T3,480
东方航空,MU5113,14:00,16:15,虹桥机场T2,首都机场T2,472
东方航空,MU5159,14:30,16:45,虹桥机场T2,首都机场T2,566
中国国际航空,CA1524,14:45,17:10,虹桥机场T2,首都机场T3,480
东方航空,MU5115,15:00,17:15,虹桥机场T2,首都机场T2,472
中国国际航空,CA1558,15:25,17:55,虹桥机场T2,首都机场T3,580
南方航空,CZ8888,15:30,17:45,虹桥机场T2,大兴机场,870
东方航空,MU5161,15:30,18:00,浦东机场T1,首都机场T2,472
东方航空,MU5117,16:00,18:15,虹桥机场T2,首都机场T2,566
中国国际航空,CA1884,16:20,19:00,浦东机场T2,首都机场T3,580
中国国际航空,CA1534,16:35,19:00,虹桥机场T2,首都机场T3,580
东方航空,MU5119,17:00,19:15,虹桥机场T2,首都机场T2,472
中国国际航空,CA8685,17:00,19:25,浦东机场T2,大兴机场,480
吉祥航空,HO1253,17:00,19:25,虹桥机场T2,大兴机场,438
上海航空,FM9101,17:30,19:30,虹桥机场T2,大兴机场,498
中国国际航空,CA1518,17:30,19:55,虹桥机场T2,首都机场T3,580
东方航空,MU5195,17:40,20:10,浦东机场T1,大兴机场,472
东方航空,MU5121,18:00,20:15,虹桥机场T2,首都机场T2,472
中国国际航空,CA1522,18:30,21:00,虹桥机场T2,首都机场T3,580
中国国际航空,CA1836,19:00,21:10,浦东机场T2,首都机场T3,580
东方航空,MU5123,19:00,21:15,虹桥机场T2,首都机场T2,566
海南航空,HU7608,19:00,21:15,虹桥机场T2,首都机场T2,900
东方航空,MU6866,19:20,21:30,虹桥机场T2,大兴机场,472
中国国际航空,CA1516,19:25,21:45,虹桥机场T2,首都机场T3,780
东方航空,MU5163,19:30,21:50,虹桥机场T2,首都机场T2,472
南方航空,CZ8886,19:45,22:00,虹桥机场T2,大兴机场,600
东方航空,MU5125,20:00,22:10,虹桥机场T2,首都机场T2,566
中国联合航空,KN5956,20:05,22:15,虹桥机场T2,大兴机场,620
海南航空,HU7610,20:15,22:45,虹桥机场T2,首都机场T2,900
中国国际航空,CA1550,20:25,22:45,虹桥机场T2,首都机场T3,580
厦门航空,MF8556,20:45,22:55,浦东机场T2,大兴机场,490
东方航空,MU5127,21:00,23:15,虹桥机场T2,首都机场T2,566
东方航空,MU5165,21:30,23:50,浦东机场T1,首都机场T2,472
中国国际航空,CA1510,21:30,23:45,虹桥机场T2,首都机场T3,480
东方航空,MU5186,21:40,00:05,浦东机场T1,大兴机场,472
南方航空,CZ8882,22:15,00:25,虹桥机场T2,大兴机场,400
中国国际航空,CA1566,22:30,00:55,虹桥机场T2,首都机场T3,480
